name,status,seconds,log
gals95_rn50,PASS,204,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/gals95_rn50.log
gals100_rn50,PASS,234,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/gals100_rn50.log
rrr95_vit,PASS,166,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/rrr95_vit.log
rrr100_vit,PASS,157,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/rrr100_vit.log
gradcam95_vit,PASS,115,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/gradcam95_vit.log
gradcam100_vit,PASS,112,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/gradcam100_vit.log
abn95_vit,PASS,25,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/abn95_vit.log
abn100_vit,PASS,45,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/abn100_vit.log
gals95_vit,PASS,151,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/gals95_vit.log
gals100_vit,PASS,156,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/gals100_vit.log
gals95_ourmasks,PASS,173,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/gals95_ourmasks.log
gals100_ourmasks,PASS,160,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/gals100_ourmasks.log
upweight95,PASS,108,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/upweight95.log
upweight100,PASS,106,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/upweight100.log
abn95_baseline,PASS,21,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/abn95_baseline.log
abn100_baseline,PASS,20,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/abn100_baseline.log
guided95_galsvit,FAIL,9,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/guided95_galsvit.log
guided100_galsvit,FAIL,7,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/guided100_galsvit.log
clip_lr95,FAIL,5,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/clip_lr95.log
clip_lr100,FAIL,4,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/clip_lr100.log
vanilla95,PASS,34,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/vanilla95.log
vanilla100,PASS,30,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21047520/vanilla100.log
